Gene	Name	Chr	Strand	Start	End	HNT_8A8G_Rep1	HNT_8A8G_Rep2	HBG1_8A8G_Rep1	HBG1_8A8G_Rep2	HBG1_WT
RNU6-1	RNU6-1	19	+	893484	893589	0.000000	0	0	0.0	0.0
LINC01287	LINC01287	7	-	153399919	153412234	0.0	0.0	0.0	0.000000	0.0
COL8A1	COL8A1	3	+	99638594	99799217	0.590647	2.143515	0.534440	0.832168	0.198278
PLA2G2C	PLA2G2C	1	-	20163092	20177364	0.0	0.0	0.0	0.0	0.0
LOC101927478	LOC101927478	1	+	229508430	229514087	0.000000	0.000000	0.000000	1.924163	0.000000
LRP2BP	LRP2BP	4	-	185363878	185378998	0.865987	0.000000	0.325867	0.776533	0.816914
LYL1	LYL1	19	-	13099028	13103160	0.000000	0.000000	0.753800	0.561593	0.000000
LOC100996249	LOC100996249	7	+	112618065	112620649	0.0	0.0	0.0	0.0	0.0
LHB	LHB	19	-	49015980	49017090	2.137733	4.564537	5.821115	2.060146	0.000000
LY6D	LY6D	8	-	142784882	142786592	0.0	0.0	0.0	0.0	0.0
DENND3	DENND3	8	+	141128612	141195804	3.725614	1.950258	3.732744	4.295351	2.573714
FFAR1	FFAR1	19	+	35351542	35352464	0.0	0.0	0.0	0.0	0.0
SNAR-A14	SNAR-A14	19	+	47923779	50123194	0.0	0	0	0	0
AMY1A	AMY1A	1	-	103687418	103696451	0.000000	0.000000	0.000000	0.000000	0.000000
NAALADL2-AS2	NAALADL2-AS2	3	-	175235092	175271096	0.0	0.0	0.000000	0.0	0.000000
OCRL	OCRL	X	+	129540255	129592560	40.811588	34.405937	38.885983	51.564198	21.626123
ZSCAN9	ZSCAN9	6	+	28225251	28233486	12.501898	4.952159	11.979934	10.090151	6.264955
LINC00562	LINC00562	13	-	47930153	47932622	1.661731	0.380288	1.882843	1.929210	1.150074
DCLK1	DCLK1	13	-	35768652	36132020	0.545054	0.284664	0.943425	0.276672	0.105377
SALL2	SALL2	14	-	21521081	21537216	41.411552	50.289043	44.723869	50.482117	35.942577
CNPY3	CNPY3	6	+	42928002	42939287	52.446926	48.655914	37.665577	31.125340	43.875389
PLPPR2	PLPPR2	19	+	11355386	11365698	30.638525	27.631041	42.308090	42.206692	41.568844
WDR54	WDR54	2	+	74421723	74425755	58.467422	56.633228	61.310368	46.813915	42.026001
KCNS2	KCNS2	8	+	98427022	98430795	0.000000	0.000000	0.309248	0.317160	0.0
ARID2	ARID2	12	+	45729709	45908040	44.540257	37.639149	46.329674	62.338127	42.842888
FAM210B	FAM210B	20	+	56358927	56368662	19.343504	22.502056	23.760305	18.473215	18.904491
LOC102724153	LOC102724153	14	-	75574904	75579588	0.000000	0.0	0.000000	0.000000	0.000000
GRB10	GRB10	7	-	50590063	50793462	7.458683	4.174784	8.848066	8.803539	4.625379
SYCP2L	SYCP2L	6	+	10886831	10974308	4.255125	4.056542	5.130660	7.044691	4.201458
HID1	HID1	17	-	74950742	74972759	24.098766	21.451059	32.620945	25.696924	26.083565
RNA5S10	RNA5S10	1	-	228610266	228630508	0.0	0.0	0.0	0.0	0.0
MIR216A	MIR216A	2	-	55988950	55989059	0.0	0.0	0.0	0.000000	0.000000
LOC101929057	LOC101929057	6	+	89638532	89689481	1.864673	1.916295	1.484612	1.916221	1.183498
RFX4	RFX4	12	+	106582907	106762804	0.000000	0.000000	0.000000	0.000000	0.000000
SMCP	SMCP	1	+	152878322	152885047	0.0	0.0	0.0	0.0	0.0
LINC00115	LINC00115	1	-	826206	827522	2.181084	3.732677	1.660167	1.163986	0.820152
LOC642131	LOC642131	15	-	22177855	22178596	0	0	0	0.000000	0
HCG4	HCG4	6	-	29791031	29793073	1.108184	0.0	0.0	0.239196	1.413047
SPEGNB	SPEGNB	2	+	219496355	219498287	0.000000	0.0	0.000000	0.0	0.000000
KCNH5	KCNH5	14	-	62706577	63045238	0.0	0.0	0.0	0.0	0.0
SHANK2-AS1	SHANK2-AS1	11	+	70631094	70635490	0.000000	0.000000	0.000000	0.000000	0.000000
LOC102724612	LOC102724612	8	+	63465849	63475482	0.0	0.0	0.0	0.0	0.0
DPYD	DPYD	1	-	97077744	97921059	0.000000	0.000000	0.171113	0.075266	0.282508
NUDC	NUDC	1	+	26921722	26946871	296.194427	337.021423	277.933014	257.687286	350.290833
LOC105375690	LOC105375690	8	-	103481280	103501910	6.452485	1.061545	4.424129	6.605451	7.454556
CERK	CERK	22	-	46684410	46738252	30.450151	19.879637	28.276934	29.353020	30.973614
AKT2	AKT2	19	-	40230317	40285395	40.771816	32.680702	34.834747	40.440022	27.107996
CDK7	CDK7	5	+	69234795	69277430	20.907864	33.866261	18.142740	21.502586	29.495697
KIAA0355	KIAA0355	19	+	34254551	34355566	25.970249	24.172102	28.687805	29.041464	26.426327
KRTAP12-4	KRTAP12-4	21	-	44654213	44654659	0.721499	0.000000	0.000000	0.000000	0.000000
LOC105374454	LOC105374454	2	-	33555045	33569430	1.291128	0.000000	0.370476	1.179233	1.966633
LINC01298	LINC01298	8	-	95207007	95216374	0.0	0.0	0.0	0.0	1.217347
TOX3	TOX3	16	-	52436416	52547802	0.0	0.0	0.218503	0.107948	0.492798
LOC101928381	LOC101928381	9	-	64734499	64745366	0.0	0	0.0	0.0	0
ZNF264	ZNF264	19	+	57191500	57222846	2.763682	2.240897	2.696006	3.431027	4.871610
NANOGNB	NANOGNB	12	+	7765216	7774121	0.0	0.0	0.0	0.0	0.0
LINC02005	LINC02005	3	+	73809244	73879620	0.0	0.0	0.0	0.0	0.0
LCT	LCT	2	-	135787840	135837180	0.053231	0.190569	0.101711	0.283489	0.362044
SELENOO	SELENOO	22	+	50201011	50217616	55.274025	47.328594	41.294067	39.622444	52.357334
LOC105369391	LOC105369391	11	+	75583196	75594665	1.051914	4.117252	1.856574	2.778106	0.000000
PLOD1	PLOD1	1	+	11934667	11975542	23.863182	24.602375	27.250137	26.765636	20.030954
OCEL1	OCEL1	19	+	17226226	17229219	30.879673	33.106220	24.454935	26.524389	35.555431
WHAMMP3	WHAMMP3	15	+	22664739	22685367	4.852929	3.085197	4.417201	5.771438	4.525229
BPESC1	BPESC1	3	+	139104185	139125163	0.0	0.0	0.0	0.0	0.0
MIR219B	MIR219B	9	+	128392621	128392708	0.000000	0.000000	0.000000	0.000000	0.000000
FABP6	FABP6	5	+	160187367	160238722	0.0	0.0	0.0	0.0	0.0
SNRPG	SNRPG	2	-	70281362	70293771	702.628967	293.617004	717.961304	599.836426	909.182434
TFPI2	TFPI2	7	-	93885396	93890991	4.221708	5.157875	4.151752	2.565015	2.388171
LINC01776	LINC01776	1	+	98210711	98272658	0.0	0.0	0.0	0.0	0.0
ZCCHC12	ZCCHC12	X	+	118823743	118826973	7.775615	2.493087	7.576644	10.822373	6.944698
TXNRD3NB	TXNRD3NB	3	-	126571779	126608555	3.066677	0.000000	0.000000	0.913860	5.545835
SSX8P	SSX8P	X	+	52622935	52633948	0.0	0.0	0.0	0.0	0.0
PROX1	PROX1	1	+	213987935	214041504	4.460755	4.714980	5.840006	6.822824	9.930455
KCNE4	KCNE4	2	+	223051930	223055637	0.0	0.0	0.364169	0.0	0.0
SNORD49B	SNORD49B	17	+	16439509	16439556	0.237830	7.869976	1.611211	3.022382	0.223094
ZNF33B	ZNF33B	10	-	42574183	42638837	7.899627	5.677656	6.652812	6.492274	0.894639
POFUT2	POFUT2	21	-	45263928	45287913	34.368031	11.072523	20.663338	25.483234	10.623538
TMEM176B	TMEM176B	7	-	150791288	150801360	0.0	0.000000	0.000000	0.0	0.000000
RHOF	RHOF	12	-	121777754	121793688	0.117461	0.000000	0.429668	0.504556	2.018389
FRG1BP	FRG1BP	20	+	30377164	30419842	6.327542	10.257837	11.938683	11.682440	11.100781
FAM27E3	FAM27E3	9	-	67717498	67719179	15.074717	9.374639	12.004128	10.213251	10.038913
PRRT3-AS1	PRRT3-AS1	3	+	9947404	9954787	0.000000	0.000000	2.232609	0.000000	0.000000
ARL17A	ARL17A	17	-	46508681	46579722	33.166935	42.781998	42.029076	44.473206	47.926849
USP17L18	USP17L18	4	+	9215405	9216997	0	0	0.000000	0.000000	0
LOC101928510	LOC101928510	11	-	36063284	36077901	0.045979	0.000000	0.000000	0.194809	0.676995
BEX4	BEX4	X	+	103215092	103217244	37.924324	26.013702	40.284676	41.977497	29.429859
ARL17B	ARL17B	17	-	46274184	46361787	21.583601	23.581558	22.391743	25.272579	30.654001
KRT13	KRT13	17	-	41500981	41505613	0.000000	0.000000	0.548288	0.259555	0.000000
CHKB-DT	CHKB-DT	22	+	50583026	50595281	17.086157	19.330652	12.430439	23.028336	30.906122
ZNF253	ZNF253	19	+	19865830	19893484	0.000000	0.0	0.0	0.000000	0.000000
LINC01497	LINC01497	17	+	69961707	69983544	0.0	0.0	0.0	0.0	0.0
MICU3	MICU3	8	+	17027238	17122639	5.028754	5.882785	4.608827	4.669014	5.311926
LAPTM4A	LAPTM4A	2	-	20032650	20052028	9.898317	9.839272	16.154747	10.576696	7.011924
BECN1	BECN1	17	-	42810132	42824316	67.975739	47.335518	68.808205	79.208916	51.072765
PPIL6	PPIL6	6	-	109390215	109441171	2.079815	1.405114	3.207766	4.092813	4.664671
CEBPD	CEBPD	8	-	47736914	47738164	36.288158	30.293823	23.169901	28.010187	34.064827
OR2H1	OR2H1	6	+	29457155	29464322	0.0	0.0	0.120365	0.000000	0.0
SPARCL1	SPARCL1	4	-	87473330	87529503	0.000000	0.519216	0.315565	0.0	0.318107
RNU5A-1	RNU5A-1	15	+	65296051	65296167	0.0	0.0	0.672058	0.0	0.000000
MIR7150	MIR7150	9	-	123485529	123485622	0.000000	0.000000	0.000000	1.851585	0.000000
OR10H4	OR10H4	19	+	15949008	15949958	0.0	0.0	0.0	0.0	0.0
PROK2	PROK2	3	-	71771655	71785206	1.206388	2.359701	0.000000	2.406310	0.439121
OR3A4P	OR3A4P	17	+	3310245	3311446	0.0	0.0	0.0	0.0	0.0
LINC01115	LINC01115	2	-	779840	868426	0.0	0.0	0.0	0.0	0.0
MATK	MATK	19	-	3777969	3801812	2.004772	1.757366	4.239517	2.856111	2.510385
KRTAP22-1	KRTAP22-1	21	+	30601087	30601382	0.0	0.0	0.0	0.0	0.0
MITF	MITF	3	+	69739435	69968337	14.706873	4.349928	13.070232	16.362896	14.539916
H3F3A	H3F3A	1	+	226062707	226072002	0.256319	0.183469	0.458221	0.300029	0.674496
AP1S2	AP1S2	X	-	15825806	15855014	8.596761	2.192954	11.051964	10.318541	7.464277
SNORA56	SNORA56	X	+	154774998	154775126	0.334733	0.000000	0.229145	0.000000	0.000000
C1orf162	C1orf162	1	+	111473869	111478512	2.988851	2.101922	1.846947	7.794399	0.435112
MIR520G	MIR520G	19	+	53722166	53722255	0.0	0.0	0.0	0.0	0.0
LOC112543491	LOC112543491	1	+	161135150	161137942	8.003665	9.626594	6.283968	8.079127	8.603352
DOCK1	DOCK1	10	+	126905409	127452517	27.084858	30.278389	26.302561	30.908192	25.092819
ERV3-1	ERV3-1	7	-	64990355	65006746	1.060280	8.012726	5.671227	2.515615	8.427346
UQCRH	UQCRH	1	+	46303613	46316777	467.882446	623.851868	423.183990	437.941528	411.559814
EIF1AD	EIF1AD	11	-	65996545	66002166	16.383652	11.467875	24.684515	18.494347	20.694685
AKR7A2P1	AKR7A2P1	1	+	112923350	112924673	0.534269	0.000000	0.427216	1.875789	0.203725
FAM86B1	FAM86B1	8	-	12182104	12194115	10.316767	10.282595	11.560541	11.308645	13.904586
TFAP2A	TFAP2A	6	-	10396683	10419564	23.171263	16.180248	20.143080	26.093201	22.701473
PCGEM1	PCGEM1	2	+	192749845	192776899	0.0	0.941468	0.0	0.000000	0.0
CORO6	CORO6	17	-	29614756	29621423	4.034634	2.572532	7.190337	3.318506	3.911108
CTSH	CTSH	15	-	78921750	78945098	30.162014	21.530993	27.845224	28.264887	23.702887
CASC16	CASC16	16	-	52552087	52606975	0.0	0.0	0.0	0.0	0.0
CHRNA10	CHRNA10	11	-	3665587	3671384	4.992764	2.956038	3.007443	2.427782	6.068667
S100A3	S100A3	1	-	153547333	153549258	0.0	0.0	0.0	0.0	0.0
ODF4	ODF4	17	+	8339840	8346045	0.000000	0.0	0.0	0.0	0.0
LOC101927357	LOC101927357	5	-	122581499	122584600	0.0	0.0	0.0	0.0	0.0
GSC-DT	GSC-DT	14	+	94770642	94773607	0.0	0.000000	0.000000	0.000000	0.000000
KHDC1L	KHDC1L	6	-	73223545	73225496	3.215585	0.000000	1.402917	0.987344	8.086307
C16orf89	C16orf89	16	-	5044122	5066145	0.0	0.000000	0.0	0.068484	0.000000
C3orf70	C3orf70	3	-	185076838	185153048	2.936749	4.095740	3.158082	4.525236	5.486310
UBE2J2	UBE2J2	1	-	1253912	1273854	26.823345	54.139938	23.232714	28.748562	29.392687
ARR3	ARR3	X	+	70268335	70281840	0.344075	0.000000	0.000000	0.263219	0.472904
DND1	DND1	5	-	140670796	140673586	8.389559	5.439092	6.485126	6.139546	6.295040
ZNF805	ZNF805	19	+	57240632	57262738	3.910725	4.293939	6.460658	5.606774	3.539357
VAT1L	VAT1L	16	+	77788564	77980107	0.0	0.0	0.0	0.0	0.096149
SLC50A1	SLC50A1	1	+	155135344	155138858	26.262743	29.008078	34.275688	42.868984	33.042591
ULBP1	ULBP1	6	+	149963974	149973713	3.675207	2.709879	3.250315	5.101692	1.496073
LOC100129534	LOC100129534	1	-	2350415	2352661	7.530493	5.274629	5.146884	9.384876	4.365260
JAKMIP3	JAKMIP3	10	+	132065967	132184809	0.0	0.089031	0.0	0.000000	0.000000
WDR11-AS1	WDR11-AS1	10	-	120761812	120851179	0.000000	0.000000	0.777175	0.000000	0.000000
TGIF2LX	TGIF2LX	X	+	89921941	89922883	0.0	0.0	0.0	0.0	0.0
RNF157	RNF157	17	-	76142453	76240493	30.858589	30.875673	33.857822	35.488735	36.546928
RPUSD4	RPUSD4	11	-	126202094	126211692	28.618618	30.280470	30.274778	29.772152	17.570395
MS4A5	MS4A5	11	+	60429589	60447792	0.0	0.0	0.0	0.0	0.0
MIR4508	MIR4508	15	-	23562062	23562131	0.0	0.0	0.0	0.0	0.0
VCX3A	VCX3A	X	-	6533618	6535118	0.0	0.0	0.0	0.0	0.0
GABRA6	GABRA6	5	+	161685721	161702592	0.0	0.0	0.0	0.0	0.0
OR1D5	OR1D5	17	-	3062669	3063607	0.0	0.543704	0.0	0.0	0.0
ETV1	ETV1	7	-	13891231	13991425	0.198016	0.0	0.445596	0.073911	0.667825
NOXRED1	NOXRED1	14	-	77394021	77423056	3.408613	0.000000	3.873041	2.796532	2.862636
DNAJB5-DT	DNAJB5-DT	9	-	34985411	34989379	1.293489	0.0	0.000000	0.000000	1.200387
LAMC1-AS1	LAMC1-AS1	1	-	183138403	183141270	0.000000	0.000000	0.000000	0.000000	0.000000
FNDC5	FNDC5	1	-	32862268	32872492	5.818331	0.496270	3.873127	3.480298	3.340570
LINC01233	LINC01233	19	+	22532626	22533494	0.0	0.0	0.0	0.0	0.0
CHD1L	CHD1L	1	+	147173194	147295766	57.304031	56.614868	63.902599	73.533569	56.460705
LINC00964	LINC00964	8	+	124942008	124951095	0.0	0.0	0.0	0.0	0.0
PRR29	PRR29	17	+	63998351	64004284	0.306560	0.000000	0.0	0.000000	0.000000
RNU7-1	RNU7-1	12	+	6943816	6943878	0.200984	26.952646	10.831779	0.232710	4.743206
SCNN1B	SCNN1B	16	+	23302270	23381299	0.000000	0.0	0.109489	0.000000	0.000000
FOXD2	FOXD2	1	+	47436017	47440691	7.327241	5.999092	8.402102	9.664694	6.120249
LINC00538	LINC00538	1	+	213924749	213926653	0.000000	0.000000	0.398113	0.216698	0.116079
PHLDA2	PHLDA2	11	-	2928273	2929420	92.223808	81.076736	93.430435	93.691994	164.395554
DSCAM	DSCAM	21	-	40010999	40847139	0.047489	0.000000	0.000000	0.000000	0.0
LOC102723427	LOC102723427	7	+	68020253	68032690	0.0	0.0	0.0	0.0	0.0
BCL6	BCL6	3	-	187721377	187745725	9.972040	7.491275	10.318155	6.189856	12.458496
MPI	MPI	15	+	74890005	74902219	70.766945	82.101189	64.732292	112.082008	59.058693
LOXHD1	LOXHD1	18	-	46476972	46657033	0.000000	0.000000	0.000000	0.0	0.0
IQCB1	IQCB1	3	-	121769761	121835079	85.598694	37.909649	97.816101	124.722534	127.619141
GPR182	GPR182	12	+	56994492	56998447	0.000000	0.0	0.342064	0.097472	0.639026
LINC00523	LINC00523	14	+	100657268	100672744	0.0	0.0	0.0	0.0	0.0
FCER1G	FCER1G	1	+	161215295	161219245	0.000000	0.0	0.000000	1.077879	0.0
HOXB8	HOXB8	17	-	48612346	48614939	3.542950	6.196204	4.762670	4.008681	2.202739
DEFB118	DEFB118	20	+	31368618	31373902	0.0	0.0	0.0	0.0	0.0
PAM16	PAM16	16	-	4340249	4351399	399.947357	100.549530	312.807556	155.166595	363.087494
DEFA9P	DEFA9P	8	-	6959289	6960161	0.0	0.0	0.0	0.0	0.0
TIE1	TIE1	1	+	43300895	43323110	0.0	0.0	0.0	0.000000	0.000000
TMPRSS11E	TMPRSS11E	4	+	68447449	68497604	0.0	0.0	0.0	0.000000	0.0
SMARCD3	SMARCD3	7	-	151238973	151277145	75.986290	65.653191	81.158745	67.324440	71.845581
RANBP2	RANBP2	2	+	108719481	108785811	38.426624	33.862724	34.947979	42.998508	36.015148
MEX3C	MEX3C	18	-	51174550	51197681	21.376078	19.843758	22.164743	22.788319	18.941414
SLC17A1	SLC17A1	6	-	25782898	25832059	0.0	0.0	0.0	0.0	0.0
WASHC3	WASHC3	12	-	102012840	102062124	47.378902	16.518099	50.665264	40.492542	44.711571
DEFB124	DEFB124	20	-	31465506	31473013	0.000000	0.0	0.0	0.0	0.000000
SIGLEC6	SIGLEC6	19	-	51517819	51531856	0.0	0.0	0.0	0.0	0.0
LINC02422	LINC02422	12	-	31876969	31887203	0.0	0.000000	0.0	0.0	0.0
MTRNR2L2	MTRNR2L2	5	-	80650000	80651035	337.759766	198.495804	298.836792	291.866699	360.606293
FLJ37201	FLJ37201	10	-	89691300	89697928	1.095876	1.478021	2.464437	1.564171	3.248408
PEG13	PEG13	8	-	140094894	140100535	0.125757	0.238948	0.104526	0.212778	0.178741
KRTAP9-7	KRTAP9-7	17	-	41041318	41167743	0	0.000000	0	0	0
THOC2	THOC2	X	-	123600561	123733054	239.514954	414.584991	283.682190	325.378906	351.224823
MIR595	MIR595	7	-	158532718	158532813	0.000000	0.000000	0.000000	0.0	0.000000
TP53TG3B	TP53TG3B	16	+	33459648	33462258	0	0	0.000000	0	0
SLC31A2	SLC31A2	9	+	113150958	113164142	3.808065	2.743126	3.444398	5.401766	4.985358
INO80E	INO80E	16	+	29996209	30005794	128.298080	177.435486	130.871689	143.043457	142.967255
MIR3670-4	MIR3670-4	16	-	18488301	18488365	1.488507	0	0.000000	0.000000	0
MIR8069-2	MIR8069-2	21	+	13724189	13724274	0	0.0	0.0	0	0.0
C1orf50	C1orf50	1	+	42767245	42775742	21.761478	10.784907	29.800869	38.191525	38.808533
GGT2	GGT2	22	-	21207973	21277862	0.785152	0.000000	0.599994	0.000000	0.673035
TEK	TEK	9	+	27109141	27230178	0.000000	0.000000	0.000000	0.000000	0.000000
LOC101928739	LOC101928739	3	-	179101371	179147973	0.0	0.0	0.0	0.0	0.0
ZNF57	ZNF57	19	+	2900898	2918476	5.590887	1.433742	7.817567	6.549033	8.998864
C6orf106	C6orf106	6	-	34587280	34696850	16.083172	14.638102	19.679853	23.525091	19.228935
POTEKP	POTEKP	2	+	131592042	131626429	0.0	0.0	0.0	0.000000	0.0
BRCA1	BRCA1	17	-	43044295	43125483	86.792709	94.628502	87.718735	104.426666	126.607796
ACAD11	ACAD11	3	-	132558138	132660131	6.248518	5.065996	8.834248	10.506941	5.510299
URGCP-MRPS24	URGCP-MRPS24	7	-	43866558	43906632	7.395186	1.711154	0.000000	0.000000	0.000000
S100A4	S100A4	1	-	153543619	153545806	0.0	0.0	0.0	0.0	0.0
TMEM70	TMEM70	8	+	73976142	73982783	64.518562	53.609074	74.286201	87.095848	88.644867
TUBGCP5	TUBGCP5	15	-	22983026	23039673	20.614672	13.275733	19.007051	21.287163	25.860489
ZNF555	ZNF555	19	+	2841435	2860474	1.506474	1.093631	2.106679	1.872845	1.405778
MIR328	MIR328	16	-	67202321	67202395	0.000000	0.000000	0.000000	0.000000	0.000000
LINC00847	LINC00847	5	+	180830957	180835726	2.592793	4.162639	3.623368	2.804620	3.575011
SETD3	SETD3	14	-	99397746	99480889	34.620800	24.975826	42.067142	35.834553	25.910583
GNG10	GNG10	9	+	111661571	111670246	119.890762	54.762753	113.659126	118.348984	90.822701
SMG1P6	SMG1P6	16	-	29425411	29447026	5.159531	3.298206	4.855544	5.365830	5.977736
LINC02278	LINC02278	4	+	38564003	38573960	0.0	0.0	0.000000	0.0	0.0
TMPRSS13	TMPRSS13	11	-	117900641	117929453	0.995964	0.173518	0.521198	1.201482	0.538436
MIR550A3	MIR550A3	7	-	29680734	29680828	2.116117	7.053504	4.165155	0.000000	0.000000
LOC440300	LOC440300	15	+	84191848	84209273	2.226082	2.863340	2.599423	4.125532	2.510864
CDC25C	CDC25C	5	-	138285265	138338355	28.049360	19.737305	30.185781	29.225370	34.228210
CT45A6	CT45A6	X	-	135794705	135802749	0	0	0	0.0	0
BSPRY	BSPRY	9	+	113349532	113371233	1.772918	1.000944	1.975078	1.742134	1.660800
OR8S1	OR8S1	12	+	48525632	48528103	0.0	0.0	0.000000	0.0	0.0
PRRX2-AS1	PRRX2-AS1	9	-	129712894	129718706	0.000000	0.0	0.0	0.0	0.0
SLC25A5-AS1	SLC25A5-AS1	X	-	119466033	119469120	1.820988	2.684304	2.589089	2.205206	2.200681
CCDC192	CCDC192	5	+	127703389	127941516	0.000000	0.000000	0.000000	1.078388	0.000000
ATP13A5-AS1	ATP13A5-AS1	3	+	193307244	193314521	0.000000	0.000000	0.000000	0.500747	0.000000
LINC01467	LINC01467	14	-	81605347	81623061	0.0	0.0	0.0	0.0	0.0
MCM6	MCM6	2	-	135839626	135876443	80.266411	44.559433	82.601974	94.885506	85.468018
MIR3622A	MIR3622A	8	+	27701677	27701759	0.0	0.0	0.0	0.0	0.0
DIS3	DIS3	13	-	72755402	72782128	36.116516	26.068392	58.003479	42.396717	70.683678
LIN28B-AS1	LIN28B-AS1	6	-	104936294	104940527	0.000000	0.000000	0.000000	0.0	0.000000
FAM91A1	FAM91A1	8	+	123768439	123815450	11.000229	8.743501	13.318757	12.593066	12.111547
NUCKS1	NUCKS1	1	-	205712819	205750244	171.795959	228.349762	180.245590	236.040070	163.619934
RAB5IF	RAB5IF	20	+	36605734	36612557	256.711487	117.117340	291.100067	294.931030	261.610657
LINC01098	LINC01098	4	+	177728757	177990750	0.0	0.0	0.0	0.0	0.000000
SPATA2L	SPATA2L	16	-	89696357	89701713	21.477678	13.475767	18.544773	21.160112	22.923037
LHX4	LHX4	1	+	180230298	180275053	7.036395	1.592201	6.475793	11.227519	8.941247
LINC01752	LINC01752	20	+	10753090	10754027	0.0	0.0	0.0	0.000000	0.0
CD99P1	CD99P1	X	+	2609265	2657229	0.000000	0.000000	0.000000	0.000000	3.712031
CASKIN2	CASKIN2	17	-	75500260	75515583	33.133308	28.129402	36.104744	37.427856	35.307594
SLC15A4	SLC15A4	12	-	128793194	128823996	15.921974	10.015090	16.749907	18.323618	12.319520
SDC3	SDC3	1	-	30869466	30908758	28.242771	26.930958	25.683363	31.044960	28.310606
LRRC37A5P	LRRC37A5P	9	-	111602831	111613553	0.0	0.0	0.0	0.0	0.0
MIR655	MIR655	14	+	101049550	101049646	0.0	0.0	0.0	0.0	0.0
LINC01592	LINC01592	8	-	68911803	69104190	0.0	0.0	0.0	0.0	0.0
FAM86HP	FAM86HP	3	-	130097782	130111433	20.390945	13.924381	17.486294	18.147799	21.347965
MIR660	MIR660	X	+	50013241	50013337	0.000000	0.000000	0.000000	0.000000	0.000000
LOC105375545	LOC105375545	7	-	143255299	143286334	0.000000	0.000000	0.000000	0.000000	0.000000
RFT1	RFT1	3	-	53088485	53130435	17.600677	11.128626	18.414150	15.631310	14.600641
RNU4ATAC	RNU4ATAC	2	+	121530880	121531009	0.893104	0.000000	1.326771	0.652254	8.355499
PSMD12	PSMD12	17	-	67337916	67366627	31.174643	18.512917	29.840292	31.406307	34.727825
LINC01304	LINC01304	2	-	3957656	3974032	0.0	0.0	0.000000	0.0	0.0
SMG1	SMG1	16	-	18804853	18926404	49.905346	45.557800	54.998390	61.623226	52.459278
LOC105369781	LOC105369781	12	-	56010092	56025091	0.000000	0.000000	0.000000	0.000000	0.670459
CYP26B1	CYP26B1	2	-	72129238	72147862	6.193710	4.254290	3.689466	4.740948	4.532266
C16orf97	C16orf97	16	-	52026352	52073935	0.0	0.0	0.0	0.000000	0.0
MFSD1	MFSD1	3	+	158802054	158829719	12.103505	6.712220	7.931831	10.608824	8.837304
LINC01273	LINC01273	20	+	50172570	50176671	7.066246	5.340748	9.089928	8.121652	9.316767
FABP1	FABP1	2	-	88122989	88128131	0.0	0.0	0.0	0.0	0.0
PRSS21	PRSS21	16	+	2817163	2821722	0.0	0.0	0.0	0.0	0.0
LINC00630	LINC00630	X	+	102769153	102964522	12.762175	8.498018	11.046827	10.504751	18.323360
TRPV2	TRPV2	17	+	16415571	16437003	1.543498	0.429860	0.000000	1.833112	1.227684
TSGA10	TSGA10	2	-	98997261	99154966	31.805141	8.761582	14.665446	21.782423	28.123415
C6orf99	C6orf99	6	+	158869814	158910402	1.147956	1.764771	2.795959	1.204795	0.000000
ZFAND3	ZFAND3	6	+	37819531	38154623	38.294136	39.928963	44.158829	41.410389	38.722698
RNF150	RNF150	4	-	140865571	141133462	6.284745	8.860183	6.951221	6.967790	5.882649
CCDC63	CCDC63	12	+	110846960	110907535	2.237988	1.393904	0.783342	0.313281	1.377169
DUSP12	DUSP12	1	+	161749768	161757164	76.303291	54.246681	81.727089	64.207840	64.621796
TBC1D3D	TBC1D3D	17	-	37978155	38068594	0.000000	0.000000	0	0.000000	0
COQ5	COQ5	12	-	120503279	120529158	41.729984	59.689781	59.709850	55.669361	46.819664
LOC101928042	LOC101928042	15	+	28702728	28719753	0.000000	0.000000	0.000000	0.000000	0.000000
KIRREL3	KIRREL3	11	-	126423501	127000870	0.602323	0.000000	0.494397	0.142577	0.656065
TRADD	TRADD	16	-	67154186	67159909	15.699737	5.941529	14.135536	7.792725	7.730524
PTTG1	PTTG1	5	+	160421855	160428744	196.308701	207.040985	210.692886	219.533707	230.183121
USP32	USP32	17	-	60177330	60392225	9.136336	10.645646	10.886011	12.404266	11.099834
LINC01006	LINC01006	7	-	156472099	156640535	1.834295	0.657224	1.530591	1.220940	0.867649
PPP6R1	PPP6R1	19	-	55229779	55258670	193.898468	152.791885	184.714111	229.608551	206.679031
MIR3685	MIR3685	12	+	95309923	95309984	0.884302	0.0	0.0	1.979464	4.193729
GIMAP4	GIMAP4	7	+	150567370	150573953	0.0	0.0	0.0	0.0	0.0
TOX	TOX	8	-	58805418	59119208	0.623524	0.791029	0.559977	0.348943	0.098824
SLC30A1	SLC30A1	1	-	211575039	211578757	22.250732	16.704439	19.842434	14.477543	17.293657
LOC107986845	LOC107986845	7	+	128386682	128392347	0.646173	0.000000	0.000000	0.000000	0.000000
SST	SST	3	-	187668906	187670413	0.0	0.0	0.0	0.0	0.0
MYH16	MYH16	7	+	99273301	99297971	0.518432	0.000000	0.558725	0.162703	1.059044
PHYKPL	PHYKPL	5	-	178208474	178232822	32.457222	36.775005	22.582493	36.387550	24.321779
C19orf44	C19orf44	19	+	16496311	16521369	43.221245	40.193043	46.541237	42.644211	59.628063
