Gene	Name	Chr	Strand	Start	End	CRISPRa_C1_Rep1	CRISPRa_C1_Rep2
KCNK5	KCNK5	6	-	39188971	39229475	0.0	0.0
QRFP	QRFP	9	-	130893428	130896812	0.0	0.0
BARX1	BARX1	9	-	93951627	93955326	2.837507	0.0
MIR561	MIR561	2	+	188297492	188297588	0.000000	0.000000
ITGB1BP2	ITGB1BP2	X	+	71301734	71305371	0.0	0.0
HOPX	HOPX	4	-	56647988	56681706	32.671852	0.0
FYCO1	FYCO1	3	-	45917899	45995824	0.0	0.0
N4BP2L2-IT2	N4BP2L2-IT2	13	-	32504506	32509395	0.000000	0.000000
LOC100133091	LOC100133091	7	+	76549341	76627982	6.323207	0.000000
NT5DC2	NT5DC2	3	-	52524369	52535077	38.308441	68.612991
MIR4633	MIR4633	5	+	129097688	129097766	0.000000	0.000000
ZNF232	ZNF232	17	-	5105734	5123116	129.336716	54.986202
MBTPS2	MBTPS2	X	+	21839538	21885423	0.044176	0.0
TRHDE-AS1	TRHDE-AS1	12	-	72253507	72273509	0.0	0.0
ARRB1	ARRB1	11	-	75260122	75351831	0.0	26.442280
LINC00677	LINC00677	14	-	103120849	103122909	0.0	0.0
FCGR3A	FCGR3A	1	-	161541761	161550737	0.0	0.000000
LINC01471	LINC01471	3	-	127497601	127537780	0.0	0.0
SLC49A3	SLC49A3	4	-	681824	689441	0.160134	0.0
LINC02618	LINC02618	3	+	141663199	141721074	0.0	0.0
ZNF503-AS1	ZNF503-AS1	10	+	75296383	75361678	109.576736	0.000000
GOLGA8J	GOLGA8J	15	-	22604338	22617854	0.051009	0.000000
LINC02293	LINC02293	14	+	26809348	26820703	0.0	0.0
REG3A	REG3A	2	-	79157006	79159754	0.0	0.0
HLA-DRA	HLA-DRA	6	+	32439887	32445046	0.0	0.0
LOC100289495	LOC100289495	6	+	166342631	166351469	1.359763	5.753196
CCDC18	CCDC18	1	+	93180716	93278730	22.727375	39.072510
STXBP2	STXBP2	19	+	7637101	7647874	72.400131	8.847089
TSSK2	TSSK2	22	+	19131308	19132622	0.000000	0.0
LOC101926892	LOC101926892	8	+	70471134	70485687	0.0	0.0
NIT2	NIT2	3	+	100334718	100355634	65.997765	0.0
DCLRE1B	DCLRE1B	1	+	113904619	113914086	31.922113	0.000000
C1orf105	C1orf105	1	+	172420688	172468829	0.000000	0.000000
AVPR1A	AVPR1A	12	-	63142759	63152810	0.0	0.0
CR1L	CR1L	1	+	207645113	207723691	0.0	0.0
NPM2	NPM2	8	+	22024110	22036897	0.0	0.0
PQLC1	PQLC1	18	-	79902420	79951653	5.956483	0.0
BGN	BGN	X	+	153494980	153509546	0.000000	0.000000
MN1	MN1	22	-	27748277	27801498	0.0	0.0
MYLK3	MYLK3	16	-	46702282	46763246	0.0	0.0
ZNF404	ZNF404	19	-	43872363	43880136	0.0	0.0
CPSF2	CPSF2	14	+	92121954	92164199	44.237663	56.215244
SPATA19	SPATA19	11	-	133840622	133845538	0.0	0.0
LINC01953	LINC01953	2	-	213155816	213167710	0.0	0.0
CGB3	CGB3	19	-	49022869	49024375	0.0	0.0
HPCAL4	HPCAL4	1	-	39678648	39691485	0.000000	0.0
PCDHGB3	PCDHGB3	5	+	141370264	141512979	0.0	0.0
MAGI1-IT1	MAGI1-IT1	3	-	65872814	65954558	0.000000	0.0
LOC100996671	LOC100996671	12	-	126652946	126690318	0.0	0.0
LOC100132686	LOC100132686	11	+	112260265	112261396	0.0	0.0
PLA2G4A	PLA2G4A	1	+	186828900	186988981	93.517349	0.0
CSN2	CSN2	4	-	69955256	69961011	0.0	0.0
IL6ST	IL6ST	5	-	55935097	55994993	0.022963	0.0
KRT87P	KRT87P	12	-	52250544	52258508	0.0	0.0
HIST1H2BI	HIST1H2BI	6	+	26272976	26273412	0.129606	0.000000
LINC02584	LINC02584	11	-	70072434	70075348	0.0	0.0
MIR320B1	MIR320B1	1	+	116671749	116671827	0.0	0.0
UBXN10	UBXN10	1	+	20186096	20196050	0.0	0.0
ARPC1B	ARPC1B	7	+	99374730	99394816	0.000000	2.528604
MIR5002	MIR5002	3	+	124132929	124133025	0.0	0.0
LINC01278	LINC01278	X	-	63426558	63561095	33.157764	0.000000
BAD	BAD	11	-	64269828	64284704	77.290512	34.799625
MIR7112	MIR7112	8	-	144262673	144262737	0.000000	0.000000
ZNF782	ZNF782	9	-	96816271	96854488	4.218162	0.0
MIR6751	MIR6751	11	-	65129916	65129978	0.000000	0.000000
PCDHA9	PCDHA9	5	+	140847772	141012344	0.0	0.0
BANF1	BANF1	11	+	66002079	66004146	272.273529	617.714905
NAT10	NAT10	11	+	34105564	34146911	2.935210	24.142984
SRSF5	SRSF5	14	+	69767087	69772005	78.827682	536.983582
RTEL1-TNFRSF6B	RTEL1-TNFRSF6B	20	+	63657810	63698698	0.0	0.0
GNMT	GNMT	6	+	42960754	42963880	0.000000	0.0
MIR6740	MIR6740	1	+	202003124	202003236	0.000000	0.000000
SNORA105A	SNORA105A	2	-	197486788	197486903	0.249848	0.263213
LMO7DN-IT1	LMO7DN-IT1	13	+	75876886	75881125	0.0	0.0
MCM8-AS1	MCM8-AS1	20	-	5990795	6005821	0.000000	0.000000
CNNM2	CNNM2	10	+	102918318	103078587	0.000000	0.000000
MAP4K3-DT	MAP4K3-DT	2	+	39437416	39601344	0.526814	0.0
PRG1	PRG1	19	+	43349056	43349548	0.0	0.0
FAAP100	FAAP100	17	-	81539885	81552403	3.303539	0.0
THORLNC	THORLNC	2	-	118182922	118186386	0.0	0.0
GAGE2D	GAGE2D	X	+	49331582	49338952	0.000000	0.000000
NCOA7	NCOA7	6	+	125781161	125932030	2.333215	0.0
MIR6814	MIR6814	21	-	41746772	41746841	0.0	0.0
MYO18A	MYO18A	17	-	29073510	29180389	0.000000	0.0
OLFM3	OLFM3	1	-	101802567	101997234	0.0	0.0
MAP2K5	MAP2K5	15	+	67542683	67807117	59.558796	79.721855
PLPP4	PLPP4	10	+	120456954	120589864	0.0	0.0
PUS10	PUS10	2	-	60940413	61018259	0.000000	0.0
KRTAP19-1	KRTAP19-1	21	-	30479699	30480378	18.935427	0.0
BARHL1	BARHL1	9	+	132582606	132590253	0.0	0.0
F8	F8	X	-	154835789	155022723	0.000000	0.000000
TSPEAR	TSPEAR	21	-	44497892	44711580	0.0	2.348563
H1FOO	H1FOO	3	+	129543214	129551467	0.0	0.0
VPREB3	VPREB3	22	-	23752743	23754425	1.614695	76.229759
RBPMS	RBPMS	8	+	30384501	30572261	0.0	0.000000
MAGI2-AS2	MAGI2-AS2	7	+	79008988	79012277	0.000000	0.000000
MALT1	MALT1	18	+	58671386	58754477	0.0	0.0
ZSWIM4	ZSWIM4	19	+	13795460	13832230	0.0	0.0
SFRP1	SFRP1	8	-	41261962	41309473	0.0	0.0
ZZZ3	ZZZ3	1	-	77562416	77683427	7.018874	82.333511
MIR4315-2	MIR4315-2	17	-	45475363	45475435	0.374238	0
SCARNA20	SCARNA20	17	-	60231516	60231645	0.000000	0.000000
MIR548A3	MIR548A3	8	-	104484369	104484465	0.0	0.0
RCOR2	RCOR2	11	-	63911221	63916844	0.153532	0.0
MALL	MALL	2	-	110083870	110116566	0.0	0.0
LSM11	LSM11	5	+	157743695	157760709	0.0	0.0
HDAC2	HDAC2	6	-	113936156	113971195	274.310699	145.820663
TCF7L1-IT1	TCF7L1-IT1	2	+	85186409	85187253	0.0	0.0
PHOX2B	PHOX2B	4	-	41744082	41748970	0.0	0.0
SLC6A11	SLC6A11	3	+	10816200	10940733	5.101278	0.0
SNORA7B	SNORA7B	3	-	129397210	129397348	0.000000	0.000000
H2AFX	H2AFX	11	-	119093875	119095467	31.700706	24.592886
LINC02359	LINC02359	12	+	126095992	126103932	0.0	0.0
MIR6859-4	MIR6859-4	1	-	187891	187958	0.000000	0
LINC01777	LINC01777	1	+	4412051	4424684	0.0	0.0
DMTF1	DMTF1	7	+	87152361	87196332	7.175927	0.000000
POLE4	POLE4	2	+	74958643	74969732	224.487839	393.670319
LIPI	LIPI	21	-	14108814	14210891	0.0	0.0
P3H4	P3H4	17	-	41801953	41811949	0.000000	0.0
SNORD64	SNORD64	15	+	24985100	24985166	0.000000	0.0
LINC02208	LINC02208	5	-	118350973	118562117	0.0	0.0
ARF1	ARF1	1	+	228082660	228099212	826.196167	1810.716064
ZBTB26	ZBTB26	9	-	122918029	122931551	25.304554	0.0
SNORD115-17	SNORD115-17	15	+	25201323	25204438	0.000000	0.0
MCTS1	MCTS1	X	+	120603889	120621161	74.857193	0.035827
GTF2IP23	GTF2IP23	7	+	66847450	66884273	0.0	0.0
DKKL1	DKKL1	19	+	49363730	49375116	0.0	0.0
ORAI3	ORAI3	16	+	30949084	30954938	26.739544	0.0
LIMS3	LIMS3	2	+	109898432	109925625	0.000000	0.000000
KLF15	KLF15	3	-	126342635	126357393	0.0	0.0
GSTCD	GSTCD	4	+	105708784	105847725	3.947006	0.0
C17orf113	C17orf113	17	-	42039705	42050599	0.0	0.0
PAN3-AS1	PAN3-AS1	13	-	28136843	28139174	0.000000	0.000000
LCE2A	LCE2A	1	+	152698364	152699442	0.0	0.0
TOM1L1	TOM1L1	17	+	54900691	54961967	49.616188	0.000000
NADK2	NADK2	5	-	36192589	36242279	0.000000	0.0
MIR5706	MIR5706	5	+	119154637	119154716	0.000000	0.000000
ZBED3	ZBED3	5	-	77076677	77087246	0.000000	0.0
DCAF11	DCAF11	14	+	24114697	24125242	0.000000	45.140594
ISPD-AS1	ISPD-AS1	7	+	16210486	16270604	0.0	0.000000
WWC2-AS2	WWC2-AS2	4	-	183097021	183099199	0.000000	0.0
LOC101927082	LOC101927082	6	+	51621870	51622577	0.0	0.0
SLC27A1	SLC27A1	19	+	17470444	17506168	0.000000	0.000000
C9orf50	C9orf50	9	-	129612225	129620776	1.549003	0.000000
BGLT3	BGLT3	11	-	5244554	5245546	0.0	0.0
MIR4695	MIR4695	1	-	18883202	18883275	0.000000	0.0
HSFX4	HSFX4	X	+	149929586	149931105	0.000000	0
LINCR-0002	LINCR-0002	3	+	191425524	191590356	0.0	0.0
ENTR1	ENTR1	9	-	136401922	136410614	27.070736	0.000000
CHMP5	CHMP5	9	+	33264879	33282069	358.811920	796.536987
SHB	SHB	9	-	37915898	38069213	0.0	0.0
MIR519E	MIR519E	19	+	53679940	53680023	0.0	0.0
TMC1	TMC1	9	+	72521801	72836351	0.0	0.0
MGRN1	MGRN1	16	+	4624824	4690974	0.242024	0.0
MIR567	MIR567	3	+	112112801	112112898	0.0	0.0
ZAP70	ZAP70	2	+	97713568	97739860	0.0	0.0
GSTA3	GSTA3	6	-	52896641	52909698	0.0	0.0
IGHV1OR15-1	IGHV1OR15-1	15	-	21717666	22160930	0.0	0.0
TMEM56	TMEM56	1	+	95092517	95197605	1.225571	0.000000
GPR35	GPR35	2	+	240605408	240631259	0.269805	0.0
SNORA29	SNORA29	6	-	159785594	159785733	0.000000	0.000000
TAS2R31	TAS2R31	12	-	11030387	11031407	0.000000	0.000000
LHX6	LHX6	9	-	122202577	122228812	0.0	0.0
PEMT	PEMT	17	-	17505563	17591703	33.943626	0.0
GSG1L2	GSG1L2	17	-	9802386	9822071	0.0	0.0
SNORA105B	SNORA105B	5	+	21884454	21884569	31.699074	776.681946
BCAS2	BCAS2	1	-	114567560	114581615	1553.070679	1222.329712
TAL2	TAL2	9	+	105662457	105663104	0.0	0.0
SERF1A	SERF1A	5	+	70025245	70043113	2.374201	2.124385
IL16	IL16	15	+	81196878	81312763	0.000000	0.0
LOC100130452	LOC100130452	2	-	196700635	196713012	0.000000	0.000000
NUP155	NUP155	5	-	37291633	37371126	0.000000	39.812557
CTDSP2	CTDSP2	12	-	57819927	57846964	13.435370	0.0
SNORD162	SNORD162	4	+	4664326	4664423	26.551067	0.0
ZNF264	ZNF264	19	+	57191500	57222846	0.0	0.0
RANBP3	RANBP3	19	-	5916141	5978309	7.919365	0.0
TRIM34	TRIM34	11	+	5619944	5644395	0.0	0.0
LIMS1	LIMS1	2	+	108534355	108687246	14.718448	100.010078
ZNF443	ZNF443	19	-	12429706	12441112	7.572584	15.071807
SLC1A6	SLC1A6	19	-	14950033	15010643	0.0	0.0
ATP6V1G2	ATP6V1G2	6	-	31544444	31546742	52.098125	0.000000
IMPA2	IMPA2	18	+	11981428	12030886	0.0	0.0
FEM1A	FEM1A	19	+	4791716	4795559	16.632246	39.920799
FLJ42351	FLJ42351	2	-	112641830	112644180	0.000000	0.0
TOM1	TOM1	22	+	35299275	35347994	112.781189	0.0
OR12D2	OR12D2	6	+	29396639	29397671	0.0	0.0
NOL4L	NOL4L	20	-	32443059	32585073	12.726896	0.000000
RARS	RARS	5	+	168486458	168519304	467.529053	35.666733
PLA2G4E	PLA2G4E	15	-	41981582	42050703	0.000000	0.0
CD22	CD22	19	+	35329166	35347361	0.0	0.0
SNORD80	SNORD80	1	-	173864833	173864903	0.000000	0.000000
MIR6859-3	MIR6859-3	1	-	17369	187958	0	0.000000
NTN1	NTN1	17	+	9021510	9244000	0.000000	0.0
LINC01589	LINC01589	22	-	45604432	45605647	0.0	0.0
AKR1C3	AKR1C3	10	+	5048766	5107686	0.0	0.0
SGO1	SGO1	3	-	20160593	20186233	96.475914	52.755451
HDAC7	HDAC7	12	-	47782711	47819980	0.000000	0.000000
B9D1	B9D1	17	-	19335375	19378193	42.914566	12.915993
BRINP3	BRINP3	1	-	190097667	190477882	0.0	0.0
PIGM	PIGM	1	-	160027672	160031993	34.793430	0.641695
BMP8A	BMP8A	1	+	39491646	39529869	10.615978	0.0
OTC	OTC	X	+	38352483	38421450	0.0	0.0
LINC00507	LINC00507	12	+	127915410	127951552	0.0	0.0
THSD4	THSD4	15	+	71141449	71783383	0.0	0.0
ZNF780A	ZNF780A	19	-	40069152	40090938	4.095611	0.0
LINC02159	LINC02159	5	-	160931779	160938626	0.0	0.0
PROK1	PROK1	1	+	110451166	110457354	0.0	0.0
MIR3912	MIR3912	5	-	171386656	171386760	0.0	0.0
LINC01795	LINC01795	2	+	58275877	58296548	0.0	0.0
CCDC125	CCDC125	5	-	69280692	69332793	15.070133	0.0
PCDHA5	PCDHA5	5	+	140821776	141012344	0.0	0.0
TARSL2	TARSL2	15	-	101653752	101724442	2.839667	0.0
IBA57-DT	IBA57-DT	1	-	228164086	228165512	0.0	0.0
PCDHGB7	PCDHGB7	5	+	141417647	141512981	0.0	0.0
MIR1184-3	MIR1184-3	X	-	155383100	155457615	0	0.0
OR2A20P	OR2A20P	7	-	144250674	144300302	0.0	0.0
LOC100505938	LOC100505938	7	+	8262225	8343281	4.274921	0.000000
LINC02087	LINC02087	17	-	15806242	15817742	0.0	0.0
SNORD160	SNORD160	1	+	44762035	44762107	0.000000	0.0
SH3BGRL	SH3BGRL	X	+	81201804	81298547	217.251633	143.377655
GUCY1B2	GUCY1B2	13	-	50994511	51066157	0.000000	0.0
C2orf70	C2orf70	2	+	26562559	26579532	0.0	0.0
SAC3D1	SAC3D1	11	+	65040904	65044828	0.0	0.0
GJD4	GJD4	10	+	35605410	35608935	0.0	0.0
RASSF5	RASSF5	1	+	206507530	206589284	0.0	0.0
SLIT1-AS1	SLIT1-AS1	10	+	97102756	97103747	0.0	0.0
PHACTR3	PHACTR3	20	+	59577509	59847711	0.0	0.0
GPR176	GPR176	15	-	39799022	39920892	0.0	0.0
TRMT61A	TRMT61A	14	+	103529172	103537073	0.0	0.000000
SLC2A11	SLC2A11	22	+	23856703	23886112	4.593113	0.000000
FAM21EP	FAM21EP	10	-	50021182	50067803	0.000000	0.000000
PCAT29	PCAT29	15	+	69592200	69695751	0.0	0.0
CD300LD	CD300LD	17	-	74579365	74592283	0.0	0.0
TCIRG1	TCIRG1	11	+	68038995	68050899	0.0	0.0
DISP1	DISP1	1	+	222815081	223005995	0.937179	0.0
PPP1R7	PPP1R7	2	+	241149573	241183650	158.216827	198.454498
TAP1	TAP1	6	-	32845209	32853971	12.985464	0.0
ADAM20	ADAM20	14	-	70522358	70535004	0.0	0.0
DNAH14	DNAH14	1	+	224929654	225399294	151.826660	175.046188
CSTB	CSTB	21	-	43773665	43776375	321.198730	232.984009
PGAM2	PGAM2	7	-	44062727	44065567	0.0	0.0
LINC01170	LINC01170	5	-	124059794	124438520	0.0	0.0
RDM1P5	RDM1P5	17	+	39057019	39081451	0.0	0.0
CXCL5	CXCL5	4	-	73995642	73998729	0.0	0.0
LOC102724404	LOC102724404	5	-	157362615	157460100	0.000000	0.0
SPG11	SPG11	15	-	44562696	44663678	9.449599	0.000000
PITHD1	PITHD1	1	+	23778386	23788232	7.758882	0.000000
ATP2A1	ATP2A1	16	+	28878488	28904509	0.000000	1.399428
COMTD1	COMTD1	10	-	75233656	75236066	0.0	28.587816
MIR5702	MIR5702	2	-	226658710	226658793	0.0	0.0
FBXO11	FBXO11	2	-	47806920	47905793	19.445885	145.505417
ADGRE4P	ADGRE4P	19	-	6952500	6990846	0.0	0.0
CAPS2	CAPS2	12	-	75275979	75390937	9.540633	0.0
EMC6	EMC6	17	+	3668723	3669669	363.444519	184.018005
CACNA1E	CACNA1E	1	+	181483517	181806784	0.0	0.0
TNFRSF14	TNFRSF14	1	+	2556365	2565622	0.0	0.0
PCDHGA6	PCDHGA6	5	+	141374084	141512979	0.0	0.0
FAM177B	FAM177B	1	+	222737216	222750805	0.0	2.174658
PEBP4	PEBP4	8	-	22713252	22941077	0.0	0.0
ST3GAL1	ST3GAL1	8	-	133454848	133571940	0.0	0.0
LINC01861	LINC01861	5	-	153887428	153898987	0.0	0.0
LOC105378586	LOC105378586	1	+	1599433	1607210	0.000000	0.000000
SFTA2	SFTA2	6	-	30931350	30932175	0.0	0.0
UBAP1L	UBAP1L	15	-	65093004	65106359	0.0	0.0
PVALB	PVALB	22	-	36800701	36819473	0.0	0.0
DIPK1A	DIPK1A	1	-	92832729	92961522	0.000000	0.000000
SGPP1	SGPP1	14	-	63684216	63728095	0.0	148.532761
IQGAP1	IQGAP1	15	+	90388241	90502243	25.895002	58.643456
LINC01999	LINC01999	17	+	60564546	60586620	0.0	0.0
CAMK2G	CAMK2G	10	-	73812501	73874591	0.0	0.0
HIC1	HIC1	17	+	2055103	2063241	0.000000	0.000000
YWHAB	YWHAB	20	+	44885599	44908532	242.418365	494.814453
HPCAL1	HPCAL1	2	+	10302904	10427617	0.102934	0.0
LOC100421746	LOC100421746	X	+	55280088	55288786	0.0	0.0
MORF4L1	MORF4L1	15	+	78872781	78897739	222.043915	397.236450
LOC101928211	LOC101928211	7	-	124337380	124352096	0.0	0.0
OR4F29	OR4F29	1	-	685716	686654	0.0	0
LINC00965	LINC00965	8	-	7260619	7286358	0.0	0.0
KRTAP2-4	KRTAP2-4	17	-	41065116	41065879	0.0	0.0
ZC3H12D	ZC3H12D	6	-	149447630	149485012	0.0	0.0
AS3MT	AS3MT	10	+	102869453	102901898	33.740677	0.000000
CAMSAP2	CAMSAP2	1	+	200739558	200860707	56.537216	0.0
UTP25	UTP25	1	+	209827972	209857565	23.642921	0.0
TMEM151B	TMEM151B	6	+	44270743	44279445	0.000000	0.0
FOXE3	FOXE3	1	+	47416285	47418052	0.000000	0.0
GUCD1	GUCD1	22	-	24540423	24555935	8.031238	0.000000
FUT6	FUT6	19	-	5830626	5839731	0.000000	0.0
GAS1RR	GAS1RR	9	+	86948698	87002033	0.0	0.0
KCNK3	KCNK3	2	+	26692713	26731198	1.424109	0.0
RNU105B	RNU105B	20	+	8831185	8831393	0.000000	0.000000
TNXB	TNXB	6	-	32008420	32109338	0	0.0
OCA2	OCA2	15	-	27754876	28099315	0.0	0.0
MED15	MED15	22	+	20507542	20587632	22.787477	3.468750
MIR6800	MIR6800	19	+	49832018	49832099	0.000000	0.021028
LINC01173	LINC01173	2	+	234682668	234717764	0.0	0.0
KCNK17	KCNK17	6	-	39299001	39314461	0.0	0.0
ANKLE2	ANKLE2	12	-	132725667	132761888	30.712418	0.0
CTRL	CTRL	16	-	67929574	67931862	0.0	0.000000
GPS2	GPS2	17	-	7312659	7315339	95.396118	123.677643
MAST4-AS1	MAST4-AS1	5	-	67001618	67004154	0.000000	0.000000
HIST2H2AA3	HIST2H2AA3	1	+	149851061	149851594	234.574371	12.074145
MIR223	MIR223	X	+	66018870	66018979	0.0	0.0
OR1L6	OR1L6	9	+	122749848	122750783	0.0	0.0
CALHM2	CALHM2	10	-	103446786	103452405	0.0	0.0
FANCC	FANCC	9	-	95099054	95317709	13.642301	0.000000
PCSK6	PCSK6	15	-	101303928	101489984	2.206602	0.000000
HPN-AS1	HPN-AS1	19	-	35059059	35106304	0.0	0.0
TFAP4	TFAP4	16	-	4257186	4273000	0.0	0.0
ATP6V1E2	ATP6V1E2	2	-	46511835	46542557	36.637638	82.760727
MYBPHL	MYBPHL	1	-	109292365	109307041	0.0	0.0
THOC1	THOC1	18	-	214520	268059	125.562141	0.000000
C6orf118	C6orf118	6	-	165279664	165309622	0.0	0.0
MIR199B	MIR199B	9	-	128244721	128244830	0.000000	0.000000
SNORA30B	SNORA30B	9	+	20786927	20787055	0.000000	0.000000
PDK4	PDK4	7	-	95583497	95596613	3.372872	0.0
FGF12-AS2	FGF12-AS2	3	+	192515022	192516573	0.000000	0.0
FAM183A	FAM183A	1	+	43147923	43156396	16.210936	0.000000
LOC105371049	LOC105371049	16	+	2091436	2095017	0.000000	0.000000
CENPL	CENPL	1	-	173799550	173824639	76.200760	109.355576
BGLAP	BGLAP	1	+	156241962	156243332	0.309595	0.622155
LOC101929439	LOC101929439	15	-	76174891	76181486	0.000000	0.0
LEPROT	LEPROT	1	+	65420448	65436007	30.998524	0.000000
GPR22	GPR22	7	+	107470057	107475680	0.602554	26.017561
SHPRH	SHPRH	6	-	145884809	145964097	23.149822	13.033597
ACP1	ACP1	2	+	264869	278282	1719.627319	2263.180908
CSN1S2BP	CSN1S2BP	4	+	70133604	70146704	0.0	0.0
CYP2F1	CYP2F1	19	+	41114432	41128381	0.0	0.0
CDK5R1	CDK5R1	17	+	32487087	32491253	0.0	0.0
TIGD2	TIGD2	4	+	89112817	89114901	9.001319	0.0
CBY1	CBY1	22	+	38656653	38673851	149.514725	0.000000
RNFT1	RNFT1	17	-	59952362	59964756	138.802643	0.0
UCK2	UCK2	1	+	165827495	165911618	0.655346	0.004075
CIITA	CIITA	16	+	10877198	10924983	0.0	0.0
OR5R1	OR5R1	11	-	56417258	56418232	0.0	0.0
ALKBH1	ALKBH1	14	-	77672406	77708013	131.919083	85.733856
WDR89	WDR89	14	-	63597039	63641923	69.050613	0.0
SYT10	SYT10	12	-	33375413	33439819	0.0	0.0
AADAC	AADAC	3	+	151814073	151828488	0.0	0.0
SPACA5	SPACA5	X	+	48004336	48009729	0.000000	0
KRTAP1-1	KRTAP1-1	17	-	41040559	41041461	0.0	0.0
LOC101927513	LOC101927513	8	-	119062943	119068782	0.0	0.0
DNAJC5G	DNAJC5G	2	+	27275421	27281431	0.000000	0.000000
TLL2	TLL2	10	-	96364606	96513926	0.0	0.0
PCDHB14	PCDHB14	5	+	141222326	141226288	0.0	0.0
CAMK4	CAMK4	5	+	111223653	111494884	3.483343	0.0
HSP90AB4P	HSP90AB4P	15	-	58690473	58693607	8.218025	0.280149
MIR508	MIR508	X	-	147236913	147237027	0.0	0.0
LOC100335030	LOC100335030	12	+	49389174	49392333	0.008224	29.216789
AKIP1	AKIP1	11	+	8911154	8920079	115.216766	0.000000
ERAP1	ERAP1	5	-	96760810	96814145	15.430829	0.000000
HRK	HRK	12	-	116856144	116881427	0.0	21.146519
WDSUB1	WDSUB1	2	-	159235793	159286799	36.527939	186.995117
MIR21	MIR21	17	+	59841266	59841337	0.000000	0.000000
HCG2040054	HCG2040054	2	+	47527537	47529164	0.0	0.0
PTGIR	PTGIR	19	-	46620468	46625097	0.0	0.0
MIR550A3	MIR550A3	7	-	29680734	29680828	0.000000	0.0
MIR622	MIR622	13	+	90231182	90231277	0.0	0.0
PAXIP1-AS1	PAXIP1-AS1	7	+	155003433	155005703	97.640427	0.0
JDP2	JDP2	14	+	75427806	75472701	0.0	0.0
CYB561A3	CYB561A3	11	-	61348748	61362283	5.903764	0.000000
MMP2	MMP2	16	+	55478830	55506691	0.098250	0.0
CTD-2201I18.1	CTD-2201I18.1	5	-	80066350	80083665	0.000000	0.000000
LOC101928855	LOC101928855	17	-	80801640	80805632	0.0	0.000000
MIR1244-4	MIR1244-4	5	+	118974586	118974667	17.181719	13.784713
LUC7L2	LUC7L2	7	+	139340359	139423457	184.230972	133.582581
PNOC	PNOC	8	+	28317268	28343354	0.0	0.0
MGST1	MGST1	12	+	16347142	16377189	377.698303	0.0
FAM151B	FAM151B	5	+	80488100	80542563	0.0	0.000000
TXNRD3	TXNRD3	3	-	126607052	126655124	10.178084	0.0
ADGRB3	ADGRB3	6	+	68635282	69389506	7.945556	0.0
VPS33A	VPS33A	12	-	122229561	122266823	33.866909	0.0
RMST	RMST	12	+	97462776	97565015	0.0	0.0
DBX1	DBX1	11	-	20156155	20160324	0.0	0.0
FASN	FASN	17	-	82078338	82098230	2.533110	0.0
NBDY	NBDY	X	+	56729219	56819178	267.725433	106.744492
MIR8087	MIR8087	11	-	27514970	27515047	0.0	0.0
SERPINA9	SERPINA9	14	-	94462721	94476333	0.0	0.0
FAM192A	FAM192A	16	-	57152466	57186116	109.087288	116.352684
OR5F1	OR5F1	11	-	55993681	55994625	0.0	0.0
STAG1	STAG1	3	-	136337157	136752403	7.695637	0.0
SCEL-AS1	SCEL-AS1	13	-	77599756	77606551	0.0	0.0
RBM46	RBM46	4	+	154781272	154828813	0.0	0.0
SOGA1	SOGA1	20	-	36777442	36863684	0.0	0.0
OR10A4	OR10A4	11	+	6876625	6877619	0.0	0.0
DNAH8	DNAH8	6	+	38715341	39030798	0.0	0.0
SPATA9	SPATA9	5	-	95652181	95731846	0.000000	0.000000
ADAMTSL4	ADAMTSL4	1	+	150549369	150560936	0.000000	0.042699
ENTPD8	ENTPD8	9	-	137434364	137441449	0.000000	0.000000
RTCA-AS1	RTCA-AS1	1	-	100264742	100266174	5.684277	0.000000
METTL24	METTL24	6	-	110243895	110358272	0.0	0.0
GPR87	GPR87	3	-	151294086	151316848	0.000000	0.0
MIR4513	MIR4513	15	-	74788672	74788757	0.000000	0.0
LOC101926944	LOC101926944	1	+	59772795	59788829	0.0	0.0
ADAMTSL1	ADAMTSL1	9	+	18474081	18910949	0.0	0.0
NUP188	NUP188	9	+	128947693	129007096	39.948704	0.103234
S100A7A	S100A7A	1	+	153416524	153423225	0.0	0.0
FAM131C	FAM131C	1	-	16057769	16073632	0.0	0.0
SNAR-A5	SNAR-A5	19	+	47923779	47923899	0.000000	0.000000
CLECL1	CLECL1	12	-	9715860	9733299	0.0	0.0
MPC1L	MPC1L	X	+	40623566	40624139	0.0	0.0
EMX2OS	EMX2OS	10	-	117484293	117545068	6.341242	0.0
MIR4313	MIR4313	15	-	75762215	75762315	0.0	0.0
SNORD49B	SNORD49B	17	+	16439509	16439556	0.194987	0.009124
TMEM138	TMEM138	11	+	61362001	61369508	67.659523	0.000000
INSIG2	INSIG2	2	+	118088418	118110031	0.0	0.0
CDKAL1	CDKAL1	6	+	20534457	21232403	51.216072	0.0
MAMDC2-AS1	MAMDC2-AS1	9	-	70153134	70175888	0.000000	0.0
CCDC50	CCDC50	3	+	191329085	191398670	26.148582	82.477562
ARHGAP42	ARHGAP42	11	+	100687240	100993945	1.765708	0.0
IFI27L1	IFI27L1	14	+	94081293	94102714	35.204746	43.324360
LZTS1-AS1	LZTS1-AS1	8	+	20275773	20290458	0.0	0.0
MR1	MR1	1	+	181033425	181061938	28.749208	7.931834
OR6C70	OR6C70	12	-	55469200	55470138	0.0	0.0
LINC01189	LINC01189	9	+	62452490	62522018	0.000000	0.000000
